;company;location;dates;job-title;summary;pros;cons;advice-to-mgmt;overall-ratings;work-balance-stars;culture-values-stars;carrer-opportunities-stars;comp-benefit-stars;senior-mangemnet-stars;helpful-count;link
11;google;Mountain View, CA; Dec 8, 2018;Current Employee - Anonymous Employee;Nice place to work;* Smart people * World class infrastructure * Diverse selection of projects and teams;Giant company with uneven project and team characteristics;none;5;4;5;4;4;3;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
12;google;none; Dec 8, 2018;Current Employee - Anonymous Employee;Software Engineer;* There is endless opportunity * You'll never stop learning * I haven't thought about money since I joined.;* There's always someone better than you. * You'll constantly wonder if you're good enough * When people start talking about their employeers, you'll feel awkward saying.;none;5;5;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
13;google;none; Dec 4, 2018;Former Employee - Anonymous Employee;Best Company to Work For!;Atmosphere that promotes the expression of fresh ideas!;It can be an overwhelming machine at times but there are no real drawbacks I encountered.;none;5;5;5;5;5;5;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
14;google;San Francisco, CA; Dec 3, 2018;Current Employee - Sales Operations Analyst;Still the best place to work!;Amazing company. Still the best place to work.;Size, which limits opportunities for extraordinary high performers;none;5;5;5;5;4;4;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
15;google;none; Dec 6, 2018;Current Employee - Anonymous Employee;Mba Intern;Perks, autonomy, cool products, smart people;Slow career progression for non-tech;none;5;4;5;3;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
16;google;none; Dec 6, 2018;Current Employee - Anonymous Employee;Review;The people are great to work with;There is lower compensation than expected;none;5;none;none;none;none;none;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
17;google;none; Nov 29, 2018;Current Employee - Anonymous Employee;Review of Google;The people are great to work with, good perks.;Wide variety in experience based on team.;none;5;4;5;5;5;4;2;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
18;google;none; Dec 2, 2018;Former Employee - Anonymous Employee;Analysts;Good managers, benefits , some support, nice atmosphere;Long hours, far locations, a lot of work;none;5;none;none;2;none;none;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
19;google;none; Dec 1, 2018;Former Employee - Anonymous Employee;Great Company With No Down Sides;Really fun work environment with startup;Really no down sides that I saw.;none;5;5;5;5;5;5;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
20;google;none; Dec 3, 2018;Current Employee - Anonymous Employee;Senior Account Manager;Great benefits, growth and people to work with and challenge you.;Must be located in an office;none;5;5;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P2.htm
21;google;New York, NY; Nov 26, 2018;Current Employee - Designer;Great, but great can always be better;Great team and support for individuals;Lots of bureaucracy, not super diverse;none;5;3;4;3;4;5;2;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
22;google;none; Dec 2, 2018;Current Employee - Anonymous Employee;Great company to work for;I love Google a lot;Some things are not to great;none;5;5;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
23;google;none; Dec 1, 2018;Current Employee - Anonymous Employee;n/a;it's a great place to work!;too much red tape on doing even the smallest processes!;none;5;none;none;5;none;none;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
24;google;none; Nov 30, 2018;Current Employee - Anonymous Employee;Software Engineer;Awesome job environment to work in;Pressure is there for some parts;none;5;none;none;none;none;none;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
25;google;Los Angeles, CA; Nov 29, 2018;Current Employee - Staff Accountant;Accountant;I like and learned from the beginning accounting;High clerical work in the Sane record;Management and Finance must be close relation in a Organization;5;5;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
26;google;none; Nov 29, 2018;Current Employee - Anonymous Employee;Good Company to Work for;=- perks are phenomenal, food, health, office;#�NOMBRE?;none;5;4;5;4;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
27;google;none; Nov 28, 2018;Current Employee - Anonymous Employee;Great culture;Very inspiring engineers to work with.;Easy to get lost, as it is such a big company.;none;5;3;5;4;5;3;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
28;google;San Francisco, CA; Nov 17, 2018;Current Employee - Program Manager I;Not perfect, but still the best place in the world to work;=- A company culture that encourages dissent, discourse, transparency, and fairness - Strong compensation, from benefits, to perks, to base pay - Decent internal mobility opportunities - Employees are proud to work on globally impactful products, leading ;- A company with over 90k people at the time of this review, and you can feel the size - A hierarchical company (due to its size), so don't expect to lead world changing projects and work with the CEO if you're a junior person - A company that has valued ;- Just because a small percentage of the company is screaming and shouting about certain issues doesn't mean it necessarily reflects the viewpoint of the entirety of the company.  - Feels like we're losing our 'edge' and aggressiveness in the markets we'r;5;5;5;5;5;5;3;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
29;google;none; Nov 27, 2018;Current Employee - Anonymous Employee;Great place to work;The people are awesome. Lots of perks. Reduce administrative burdens. The food is great. There's a wide variety of tasks.;There's sometimes too wide a variety of things you can work on.;none;5;4;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
30;google;none; Nov 20, 2018;Former Employee - Anonymous Employee;Great;Great place to work, free food, and great culture.;Big company, prepare to move much slower than a startup.;none;5;none;none;none;none;none;2;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P3.htm
31;google;none; Nov 21, 2018;Current Employee - Anonymous Employee;IT Employee;Flexible timings, surrounded by technical experts and platform to grow and new ideas;None as of now, all good!;none;5;none;none;none;none;none;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
32;google;Mountain View, CA; Dec 9, 2018;Former Employee - Senior Director;Senior Director;So many brilliant people Tons of resources Working on amazingly cool technologies Great culture - they really care about employees, actively ask for feedback, and act on it (e.g. Set corporate OKR's to improve on problem issues);Becoming highly bureaucratic Growing political back stabbing, especially at the senior management levels;none;3;4;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
33;google;none; Nov 24, 2018;Current Employee - Anonymous Employee;Is very good;is very good. is very very good;You work a lot. Like a lot;none;5;5;5;5;5;5;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
34;google;Mountain View, CA; Dec 8, 2018;Current Employee - Software Engineering Manager;Google is still the best place to be;Great place to work, learn new things, grow and innovate. Able to maintain a respectful and healthy workplace culture despite the recent press.;Large company issues have crept up but nothing compared to other behemoths.;none;4;5;5;4;4;4;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
35;google;Dearborn, MI; Nov 20, 2018;Current Employee - Google Specialist;Google;Google is one of the beast Company in the world;You have to work hard;none;5;3;4;4;5;4;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
36;google;none; Nov 19, 2018;Current Employee - Anonymous Employee;Good place to work;Nice perks. Good work life balance;too slow and too much consensus culture sometimes.;none;5;5;5;5;5;5;1;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
37;google;none; Dec 6, 2018;Current Employee - Anonymous Employee;Senior Software Engineer;Good work and life balance;Growth of salaries and career opportunities;none;4;5;4;3;4;3;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
38;google;New York, NY; Dec 6, 2018;Current Employee - Anonymous Employee;Good compensation;Better than average engineers. Competitive compensation.;Big and beurocratic. Lots of legacy systems. Moves slowly.;none;4;4;3;3;4;3;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
39;google;none; Dec 6, 2018;Current Employee - Anonymous Employee;Great perks, bad work-life balance;Google’s perks are great: free food, shuttle to work, stock options, fun offices and amenities. The company is also full of really smart people that I’m constantly learning from.;I have zero work-life balance. I work minimum 50 hours per week, often including nights and weekends. The commute is absolutely horrendous. I’m also not a fan of the performance review structure (even though I got good ratings myself). The essays take an insane amount of time to compile and people are often promoted based on how long they’ve been at Google rather than merit.;Restructure performance reviews so that some feedback can be sent anonymously to your manager’s manager. I’ve heard many people say that they are afraid of giving negative reviews to their managers for fear of retaliation.;3;2;3;5;5;3;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
40;google;Sunnyvale, CA; Nov 21, 2018;Current Employee - Anonymous Employee;Best of the best;The best company I've worked for. Culture, perks, the way people are treated. Very thankful for this experience.;Set hours for breakfast, lunch, dinner.;none;5;3;5;5;5;4;0;https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P4.htm
